episode,total_reward,success_rate,success_rewards,airspace_penalties,mva_penalties,time_penalty,approach_position_rewards,approach_angle_rewards,glideslope_rewards,fuel_efficiency_rewards,fuel_penalties
2,-381.296535828179,0.0,0.0,-100.0,0.0,-181.0,-99.98554498463825,0.0,0.0,0.0,0.0
4,-395.3035513229486,0.0,0.0,-100.0,0.0,-179.5,-115.31264294722878,0.0,0.0,0.0,0.0
6,-380.7038139739218,0.0,0.0,-100.0,0.0,-189.5,-90.71622780342747,0.0,0.0,0.0,0.0
8,-383.7472167374492,0.0,0.0,-100.0,0.0,-193.0,-90.52540086328479,0.0,0.0,0.0,0.0
10,-370.1930552429388,0.0,0.0,-100.0,0.0,-185.5,-84.51520864974192,0.0,0.0,0.0,0.0
12,-370.19215362629853,0.0,0.0,-100.0,0.0,-195.0,-75.05286343433455,0.0,0.0,0.0,0.0
14,-398.7259963845305,0.0,0.0,-100.0,0.0,-220.0,-78.47809548394811,0.0,0.0,0.0,0.0
16,-383.809560211611,0.0,0.0,-100.0,0.0,-198.0,-85.60902368238702,0.0,0.0,0.0,0.0
18,-407.1362546523872,0.0,0.0,-100.0,0.0,-205.0,-101.69085856639846,0.0,0.0,0.0,0.0
20,-422.48337095973903,0.0,0.0,-100.0,0.0,-195.0,-126.69482962371137,0.0,0.0,0.0,0.0
22,-355.9070902328704,0.0,0.0,-100.0,0.0,-153.0,-101.98713524514022,0.0,0.0,0.0,0.0
24,-333.41441239958294,0.0,0.0,-100.0,0.0,-161.0,-71.14741097293148,0.0,0.0,0.0,0.0
26,-330.81098069692473,0.0,0.0,-100.0,0.0,-138.0,-91.33829760211223,0.0,0.0,0.0,0.0
28,-197.28420268022307,0.0,0.0,-100.0,0.0,-60.5,-35.5159763355152,0.0,0.0,0.0,0.0
30,-200.97389595941218,0.0,0.0,-100.0,0.0,-62.0,-35.90286243327791,0.0,0.0,0.0,0.0
32,-200.95522888783864,0.0,0.0,-100.0,0.0,-62.0,-35.88486781884057,0.0,0.0,0.0,0.0
34,-200.95926871088673,0.0,0.0,-100.0,0.0,-62.0,-35.8894156565938,0.0,0.0,0.0,0.0
36,-200.95926871088673,0.0,0.0,-100.0,0.0,-62.0,-35.8894156565938,0.0,0.0,0.0,0.0
38,-200.95963022962536,0.0,0.0,-100.0,0.0,-62.0,-35.88959774215587,0.0,0.0,0.0,0.0
40,-200.95976280061302,0.0,0.0,-100.0,0.0,-62.0,-35.889669405292445,0.0,0.0,0.0,0.0
42,-200.96040016244785,0.0,0.0,-100.0,0.0,-62.0,-35.89001390358841,0.0,0.0,0.0,0.0
44,-200.96009595438562,0.0,0.0,-100.0,0.0,-62.0,-35.88983086474728,0.0,0.0,0.0,0.0
46,-200.95993598970085,0.0,0.0,-100.0,0.0,-62.0,-35.889752483081985,0.0,0.0,0.0,0.0
48,-200.96113085981324,0.0,0.0,-100.0,0.0,-62.0,-35.89040668980388,0.0,0.0,0.0,0.0
50,-200.9612408453496,0.0,0.0,-100.0,0.0,-62.0,-35.890446618793725,0.0,0.0,0.0,0.0
52,-200.96125078771803,0.0,0.0,-100.0,0.0,-62.0,-35.89045012871793,0.0,0.0,0.0,0.0
54,-200.96068841466246,0.0,0.0,-100.0,0.0,-62.0,-35.89014100958038,0.0,0.0,0.0,0.0
56,-200.96116583906735,0.0,0.0,-100.0,0.0,-62.0,-35.890419573913135,0.0,0.0,0.0,0.0
58,-200.96148540758503,0.0,0.0,-100.0,0.0,-62.0,-35.89053303846274,0.0,0.0,0.0,0.0
60,-200.96133725097192,0.0,0.0,-100.0,0.0,-62.0,-35.89048076135695,0.0,0.0,0.0,0.0
62,-312.16599956499783,0.0,0.0,0.0,-50.0,-186.0,-73.41808995985117,0.0,0.0,0.0,0.0
64,559.4356552813152,1.0,756.2884679667086,0.0,0.0,-242.0,19.35485236682412,28.946498793651546,0.0,0.0,0.0
66,620.7161384593907,1.0,761.6258457110703,0.0,0.0,-215.5,46.58423852426252,30.98464474321011,0.0,0.0,0.0
68,609.2913115879644,1.0,759.3464535775937,0.0,0.0,-226.5,47.140057085901724,32.37049984559564,0.0,0.0,0.0
70,632.5363137818708,1.0,765.9656693082493,0.0,0.0,-193.5,34.49945285266357,28.132978744046092,0.0,0.0,0.0
72,631.7106736920404,1.0,767.6376576547267,0.0,0.0,-185.0,25.692830830804542,25.805087726939313,0.0,0.0,0.0
74,616.5763882427815,1.0,765.7093521067105,0.0,0.0,-194.5,22.546304560914148,25.336589759365552,0.0,0.0,0.0
76,615.3681976857422,1.0,766.326035879117,0.0,0.0,-191.5,18.750844809705463,24.028668873568375,0.0,0.0,0.0
78,608.5263935243486,1.0,765.9390735816711,0.0,0.0,-193.5,14.812065271992712,23.53587447092415,0.0,0.0,0.0
80,620.5977282119509,1.0,767.4124841146817,0.0,0.0,-186.0,17.586957486825145,23.76928480436215,0.0,0.0,0.0
82,612.3546583871844,1.0,766.5055762519606,0.0,0.0,-190.5,15.595358032257659,23.006187024311753,0.0,0.0,0.0
84,626.0172484997637,1.0,767.6369035275095,0.0,0.0,-185.0,22.084418058217224,23.34211729887663,0.0,0.0,0.0
86,642.467355245252,1.0,769.7291424798984,0.0,0.0,-174.5,25.26192983226858,23.780023006290985,0.0,0.0,0.0
