episode,total_reward,success_rate,success_rewards,airspace_penalties,mva_penalties,time_penalty,approach_position_rewards,approach_angle_rewards,glideslope_rewards,fuel_efficiency_rewards,fuel_penalties
1,498.7591082369553,1.0,745.6438902940848,0.0,0.0,-319.0,63.24132022613816,9.96312862275241,0.0,0.0,0.0
2,485.26880493946254,1.0,743.1170131582796,0.0,0.0,-331.5,66.05745799980564,9.020662975875421,0.0,0.0,0.0
3,472.75043141117976,1.0,739.9779418608437,0.0,0.0,-347.0,71.85938124253919,9.77426835253562,0.0,0.0,0.0
4,-269.56822211700444,0.0,603.3999817861206,0.0,0.0,-1023.5,118.44398926468332,54.23971567183734,0.0,0.0,0.0
5,405.2635906515705,1.0,726.6167896417314,0.0,0.0,-413.0,74.2292818018886,19.72260491270043,0.0,0.0,0.0
6,213.3827037375168,1.0,715.5800699680399,0.0,0.0,-467.5,-49.077323730580424,16.691373775998755,0.0,0.0,0.0
7,-360.5468746462625,0.0,612.04355035608,0.0,0.0,-980.0,-21.02300153044728,34.53254261444053,0.0,0.0,0.0
8,-1349.5235024186713,0.0,0.0,-100.0,0.0,-813.0,-435.03362808126894,0.0,0.0,0.0,0.0
9,-1386.9908172695477,0.0,0.0,-100.0,0.0,-820.0,-465.61845080185395,0.0,0.0,0.0,0.0
10,-1386.580653040853,0.0,0.0,-100.0,0.0,-820.5,-464.69142570776665,0.0,0.0,0.0,0.0
11,-1348.595788960954,0.0,0.0,-100.0,0.0,-812.5,-434.6050357440301,0.0,0.0,0.0,0.0
12,-256.6429775177555,0.0,621.0310097455668,0.0,0.0,-935.5,26.766842040001034,37.13766162323243,0.0,0.0,0.0
13,224.43197410021963,1.0,707.0756436447718,0.0,0.0,-509.5,0.18475346701763984,29.213189457269742,0.0,0.0,0.0
14,241.44449355471434,1.0,707.3713479853782,0.0,0.0,-508.0,12.988259084071279,31.611530200840825,0.0,0.0,0.0
15,338.272148347119,1.0,725.7944798423844,0.0,0.0,-417.0,16.109204170763658,15.467856485842322,0.0,0.0,0.0
16,334.5070019300773,1.0,719.8204005747968,0.0,0.0,-446.5,39.53653786798839,23.950406335081993,0.0,0.0,0.0
17,351.12378453428096,1.0,727.5094302089376,0.0,0.0,-408.5,18.979469809643643,15.148556540166243,0.0,0.0,0.0
18,383.1808740193746,1.0,729.828468411813,0.0,0.0,-397.0,37.256501444758996,15.049838079437531,0.0,0.0,0.0
19,467.11438008431435,1.0,735.997902433296,0.0,0.0,-366.5,84.87769980052691,14.676386447443372,0.0,0.0,0.0
20,500.60041685584974,1.0,740.0501096552529,0.0,0.0,-346.5,94.97282281413212,13.967852010657998,0.0,0.0,0.0
21,472.30168541949206,1.0,736.6146826154555,0.0,0.0,-363.5,86.32312539720495,14.730536503934871,0.0,0.0,0.0
22,529.4544628102608,1.0,747.6371618696988,0.0,0.0,-309.0,78.50040876561452,13.313495132600277,0.0,0.0,0.0
23,531.3320487363206,1.0,748.2444857729286,0.0,0.0,-306.0,76.2542300648969,13.703331681351212,0.0,0.0,0.0
24,533.6503904161628,1.0,749.4586869158766,0.0,0.0,-300.0,69.29084397600198,15.398928344197424,0.0,0.0,0.0
25,522.2808874762974,1.0,747.3385710370364,0.0,0.0,-310.5,72.79145474269846,13.537067467384649,0.0,0.0,0.0
