episode,total_reward,success_rate,success_rewards,airspace_penalties,mva_penalties,time_penalty,approach_position_rewards,approach_angle_rewards,glideslope_rewards,fuel_efficiency_rewards,fuel_penalties
2,-627.7343244071154,0.0,0.0,0.0,-50.0,-145.0,-82.21219352218415,0.0,0.0,0.0,-360.0
4,-639.7877518280934,0.0,0.0,0.0,-50.0,-169.5,-109.73942254947592,0.0,0.0,0.0,-320.0
6,-628.6843535125709,0.0,0.0,0.0,-50.0,-166.5,-101.7085819941384,0.0,0.0,0.0,-320.0
8,-612.2817561948618,0.0,0.0,0.0,-50.0,-181.0,-120.75283698992874,0.0,0.0,0.0,-270.0
10,-540.857763569761,0.0,0.0,-100.0,0.0,-175.5,-114.94735144904061,0.0,0.0,0.0,-160.0
12,-326.581146838757,0.0,0.0,-100.0,0.0,-136.5,-89.33595071707171,0.0,0.0,0.0,0.0
14,-636.8723685636312,0.0,0.0,0.0,-50.0,-166.5,-109.63288295221908,0.0,0.0,0.0,-320.0
16,-504.34897576434213,0.0,0.0,0.0,-50.0,-217.5,-56.29460947693595,0.0,0.0,0.0,-190.0
18,-503.7299985096756,0.0,0.0,0.0,-50.0,-214.5,-48.60403931211353,0.0,0.0,0.0,-200.0
20,-594.7434223518437,0.0,0.0,0.0,-50.0,-158.5,-35.69744921959364,0.0,0.0,0.0,-360.0
22,-511.35159942551934,0.0,0.0,0.0,-50.0,-208.5,-52.02580519062292,0.0,0.0,0.0,-210.0
24,-592.0712589581624,0.0,0.0,0.0,-50.0,-160.0,-41.17392805920046,0.0,0.0,0.0,-350.0
26,-636.4234923280972,0.0,0.0,0.0,-50.0,-157.5,-78.12416062884995,0.0,0.0,0.0,-360.0
28,-638.2899476923044,0.0,0.0,0.0,-50.0,-157.5,-80.13223392903292,0.0,0.0,0.0,-360.0
30,-607.4854777409274,0.0,0.0,0.0,-50.0,-160.0,-37.248908934657074,0.0,0.0,0.0,-370.0
32,-599.3596576209216,0.0,0.0,0.0,-50.0,-159.0,-40.020169183685574,0.0,0.0,0.0,-360.0
34,-598.2613949160952,0.0,0.0,0.0,-50.0,-160.0,-37.84462779007207,0.0,0.0,0.0,-360.0
36,-595.2409507273677,0.0,0.0,0.0,-50.0,-159.0,-36.13378879520312,0.0,0.0,0.0,-360.0
38,-295.3975661232514,0.0,0.0,0.0,-50.0,-202.0,-43.268588081493824,0.0,0.0,0.0,0.0
40,-279.81562604245016,0.0,0.0,0.0,-50.0,-182.5,-46.95015437072966,0.0,0.0,0.0,0.0
42,-340.15625183376744,0.0,0.0,0.0,-50.0,-182.0,-107.79748860516528,0.0,0.0,0.0,0.0
44,-281.8752383736412,0.0,0.0,0.0,-50.0,-182.0,-49.556244749080136,0.0,0.0,0.0,0.0
46,-273.0019140956566,0.0,0.0,0.0,-50.0,-182.0,-40.703564955323344,0.0,0.0,0.0,0.0
48,-271.8659794173309,0.0,0.0,0.0,-50.0,-182.0,-39.30376105284685,0.0,0.0,0.0,0.0
50,-271.6280950513815,0.0,0.0,0.0,-50.0,-182.0,-39.1967660330948,0.0,0.0,0.0,0.0
52,-293.57622510139356,0.0,0.0,-100.0,0.0,-121.5,-71.7380147587977,0.0,0.0,0.0,0.0
54,-287.27409472458595,0.0,0.0,-100.0,0.0,-124.0,-63.016918138009544,0.0,0.0,0.0,0.0
56,-285.7323623558835,0.0,0.0,-100.0,0.0,-126.5,-59.016938539908196,0.0,0.0,0.0,0.0
58,-287.3422579211111,0.0,0.0,-100.0,0.0,-124.0,-63.071927006869736,0.0,0.0,0.0,0.0
60,-287.0789010584468,0.0,0.0,-100.0,0.0,-130.0,-56.91696040405933,0.0,0.0,0.0,0.0
62,-297.1029571341669,0.0,0.0,-100.0,0.0,-144.5,-52.42223553631487,0.0,0.0,0.0,0.0
64,-382.57443930391236,0.0,0.0,-100.0,0.0,-163.0,-49.195834501387196,0.0,0.0,0.0,-80.0
66,-315.3596194619655,0.0,0.0,-100.0,0.0,-130.5,-64.34505016372631,0.0,0.0,0.0,-30.0
68,-482.9254183164247,0.0,0.0,0.0,-50.0,-144.5,-37.85188721695227,0.0,0.0,0.0,-260.0
70,-432.46411744606405,0.0,0.0,0.0,-50.0,-164.0,-37.68230242818973,0.0,0.0,0.0,-190.0
72,-467.07101014889724,0.0,0.0,0.0,-50.0,-150.0,-36.217596057390416,0.0,0.0,0.0,-240.0
74,-447.3170668563651,0.0,0.0,-100.0,0.0,-127.5,-79.06486001599502,0.0,0.0,0.0,-150.0
76,-355.5488391477435,0.0,0.0,-100.0,0.0,-126.5,-78.42325713262052,0.0,0.0,0.0,-60.0
78,-457.7685187353162,0.0,0.0,0.0,-50.0,-152.0,-34.85229593942985,0.0,0.0,0.0,-230.0
80,-229.8606205819825,0.0,0.0,0.0,-50.0,-182.0,-12.494641727493404,15.599888155745436,0.0,0.0,0.0
82,-246.30274434757433,0.0,0.0,0.0,-50.0,-182.0,-21.646242224404514,8.254616506279575,0.0,0.0,0.0
84,-269.8021174099344,0.0,0.0,0.0,-50.0,-182.0,-36.76209959900401,0.0,0.0,0.0,0.0
86,-273.18134680683403,0.0,0.0,0.0,-50.0,-182.0,-39.97186059577331,0.0,0.0,0.0,0.0
88,-273.26646364347596,0.0,0.0,0.0,-50.0,-182.0,-40.0007824432906,0.0,0.0,0.0,0.0
90,-273.1521762661673,0.0,0.0,0.0,-50.0,-182.0,-39.69860593040039,0.0,0.0,0.0,0.0
92,-281.34705720158655,0.0,0.0,0.0,-50.0,-182.0,-47.67686352476094,0.0,0.0,0.0,0.0
94,-315.2137580349092,0.0,0.0,-100.0,0.0,-130.0,-84.46763970020733,0.0,0.0,0.0,0.0
96,-231.70822409469685,0.0,0.0,-100.0,0.0,-81.0,-49.77018032777908,0.0,0.0,0.0,0.0
98,-256.8050401868758,0.0,0.0,-100.0,0.0,-95.5,-60.50276598165773,0.0,0.0,0.0,0.0
100,-211.3940451842032,0.0,0.0,-100.0,0.0,-70.0,-40.289438670279885,0.0,0.0,0.0,0.0
102,-207.5285473113185,0.0,0.0,-100.0,0.0,-67.0,-39.35000432932055,0.0,0.0,0.0,0.0
104,-222.5189658309189,0.0,0.0,-100.0,0.0,-75.5,-46.03612924906239,0.0,0.0,0.0,0.0
106,-260.8261748388208,0.0,0.0,-100.0,0.0,-98.5,-61.56762577347945,0.0,0.0,0.0,0.0
108,-309.61785514975634,0.0,0.0,-100.0,0.0,-133.5,-74.6427597170416,0.0,0.0,0.0,0.0
110,-469.95579466137207,0.0,0.0,0.0,-50.0,-166.5,-81.3264839492295,0.0,0.0,0.0,-180.0
112,-500.47705667831394,0.0,0.0,0.0,-50.0,-149.0,-69.50769431349228,0.0,0.0,0.0,-240.0
114,-325.7366278273957,0.0,0.0,-100.0,0.0,-130.0,-84.65673083437106,0.0,0.0,0.0,-20.0
116,-238.61420548504867,0.0,0.0,0.0,-50.0,-182.0,-16.972450531240536,12.001980265697183,0.0,0.0,0.0
118,-347.46178346191107,0.0,0.0,0.0,-50.0,-181.5,-16.567041221496567,12.485846530477168,0.0,0.0,-120.0
120,-196.74542108784672,0.0,0.0,0.0,-50.0,-182.0,13.569327241853092,23.12213392860682,0.0,0.0,0.0
122,-233.4516770891445,0.0,0.0,0.0,-50.0,-182.0,-13.825148550275419,13.987251361484448,0.0,0.0,0.0
124,-272.050031925819,0.0,0.0,0.0,-50.0,-182.0,-40.42620429741228,2.219089615336069,0.0,0.0,0.0
126,-275.011905751151,0.0,0.0,0.0,-50.0,-182.0,-41.80081401615966,0.6352836259205019,0.0,0.0,0.0
128,-228.56587665103726,0.0,0.0,0.0,-50.0,-182.0,-10.078472751333956,15.181699915641133,0.0,0.0,0.0
130,-226.52990530972073,0.0,0.0,0.0,-50.0,-182.0,-8.72439540141669,15.827453069186983,0.0,0.0,0.0
132,-229.88527211138938,0.0,0.0,0.0,-50.0,-182.0,-11.424230715124915,15.129704794078094,0.0,0.0,0.0
134,-197.3824896378846,0.0,0.0,0.0,-50.0,-182.0,12.850561855942278,23.2489257943846,0.0,0.0,0.0
136,-158.31923090887824,0.0,0.0,0.0,-50.0,-182.0,45.107559704696556,29.938119730822176,0.0,0.0,0.0
138,-175.10360891256718,0.0,0.0,0.0,-50.0,-182.0,31.59798451686378,26.7533012605277,0.0,0.0,0.0
140,-178.41641394338185,0.0,0.0,0.0,-50.0,-182.0,28.89238349321466,26.12415127500306,0.0,0.0,0.0
142,638.9769235096012,1.0,765.9861811441262,0.0,0.0,-170.5,21.422793762424213,23.874669095044258,0.0,0.0,0.0
144,651.6394628989865,1.0,766.5887244310827,0.0,0.0,-167.5,28.56936408586565,25.66846222352608,0.0,0.0,0.0
146,654.8746410839541,1.0,766.6891578303049,0.0,0.0,-167.0,31.231479941818833,25.62646730617457,0.0,0.0,0.0
148,650.1037507383141,1.0,767.0908170632065,0.0,0.0,-165.0,25.766880288327677,24.43328382332407,0.0,0.0,0.0
150,664.8755913105872,1.0,767.7937840332102,0.0,0.0,-161.5,33.82127182075231,26.13377748567688,0.0,0.0,0.0
152,658.7587591879558,1.0,767.5929356658263,0.0,0.0,-162.5,30.971430210573953,25.267802188509293,0.0,0.0,0.0
154,657.9625933558402,1.0,767.5929356867819,0.0,0.0,-162.5,31.144236362643387,25.211021895688834,0.0,0.0,0.0
156,653.4620800378403,1.0,767.6933382413612,0.0,0.0,-162.0,26.961063436688136,24.770604419236122,0.0,0.0,0.0
158,664.6592392315338,1.0,767.8942113452682,0.0,0.0,-161.0,36.51844351403996,26.5988402214217,0.0,0.0,0.0
160,658.3705632017533,1.0,768.295869191868,0.0,0.0,-159.0,29.543812900431483,25.21688638718449,0.0,0.0,0.0
162,661.0700043684342,1.0,768.3962967409643,0.0,0.0,-158.5,31.883853896570805,25.51386572326887,0.0,0.0,0.0
164,667.6453534361383,1.0,768.6975761545292,0.0,0.0,-157.0,37.06095726116452,26.62268642190013,0.0,0.0,0.0
165,660.8416861069114,1.0,768.3962982623152,0.0,0.0,-158.5,32.81565431026143,25.834416284575205,0.0,0.0,0.0
