episode,total_reward,success_rate,success_rewards,airspace_penalties,mva_penalties,time_penalty,approach_position_rewards,approach_angle_rewards,glideslope_rewards,fuel_efficiency_rewards,fuel_penalties
2,-392.6100334418739,0.0,0.0,-100.0,0.0,-178.0,-113.97594163061804,0.0,0.0,0.0,0.0
4,-368.5037379481275,0.0,0.0,-100.0,0.0,-176.5,-91.75998325124058,0.0,0.0,0.0,0.0
6,-362.12698439131344,0.0,0.0,-100.0,0.0,-177.0,-84.91821543192621,0.0,0.0,0.0,0.0
8,-359.6544266891016,0.0,0.0,-100.0,0.0,-177.0,-82.39197922398081,0.0,0.0,0.0,0.0
10,-403.9868370761468,0.0,0.0,-100.0,0.0,-234.0,-69.58487390675045,0.0,0.0,0.0,0.0
12,-461.49530048393154,0.0,0.0,-100.0,0.0,-277.5,-83.87782793635064,0.0,0.0,0.0,0.0
14,-436.9695954387081,0.0,0.0,-100.0,0.0,-228.5,-107.30371917093305,0.0,0.0,0.0,0.0
16,-442.43214537607565,0.0,0.0,-100.0,0.0,-218.5,-122.43314068096306,0.0,0.0,0.0,0.0
18,-282.42734334374495,0.0,0.0,-100.0,0.0,-110.5,-70.61576542572932,0.0,0.0,0.0,0.0
20,-252.37001135528118,0.0,0.0,-100.0,0.0,-91.0,-56.68059654296379,0.0,0.0,0.0,0.0
22,-241.93660580025022,0.0,0.0,-100.0,0.0,-87.0,-53.58686231264861,0.0,0.0,0.0,0.0
24,-534.2204507814106,0.0,0.0,-100.0,0.0,-314.5,-117.80292474061882,0.0,0.0,0.0,0.0
26,-407.1564263836394,0.0,0.0,-100.0,0.0,-310.0,-34.36137299231479,38.64190273144773,0.0,0.0,0.0
28,-524.3876907316888,0.0,0.0,-100.0,0.0,-342.5,-81.02704427422717,0.0,0.0,0.0,0.0
30,-517.9622362572924,0.0,0.0,-100.0,0.0,-320.0,-97.6847835176397,0.0,0.0,0.0,0.0
32,-497.0836007073375,0.0,0.0,-100.0,0.0,-301.0,-95.94885393045087,0.0,0.0,0.0,0.0
34,-520.3338647337152,0.0,0.0,-100.0,0.0,-362.0,-78.82194226586705,20.55707094258218,0.0,0.0,0.0
36,-187.85010438943536,0.0,0.0,0.0,-50.0,-116.0,-21.495756590814125,0.0,0.0,0.0,0.0
38,-180.4487105234431,0.0,0.0,0.0,-50.0,-109.5,-20.514182517814064,0.0,0.0,0.0,0.0
40,-174.5602133650942,0.0,0.0,0.0,-50.0,-104.5,-19.488283766310815,0.0,0.0,0.0,0.0
42,-166.76367656878352,0.0,0.0,0.0,-50.0,-97.5,-18.71268671115957,0.0,0.0,0.0,0.0
44,-161.52198557465715,0.0,0.0,0.0,-50.0,-93.5,-17.56997698174532,0.0,0.0,0.0,0.0
46,-168.48287807494629,0.0,0.0,0.0,-50.0,-98.5,-19.163317606024233,0.0,0.0,0.0,0.0
48,-168.15980039590517,0.0,0.0,0.0,-50.0,-98.0,-19.46859990072994,0.0,0.0,0.0,0.0
50,-181.2354695643641,0.0,0.0,0.0,-50.0,-109.0,-21.240879496132855,0.0,0.0,0.0,0.0
52,-213.6256674317729,0.0,0.0,0.0,-50.0,-138.5,-23.772771140663412,0.0,0.0,0.0,0.0
54,-202.91794916712993,0.0,0.0,0.0,-50.0,-128.0,-23.619550603671982,0.0,0.0,0.0,0.0
56,-214.07804438053512,0.0,0.0,0.0,-50.0,-139.0,-23.7080808180241,0.0,0.0,0.0,0.0
58,-178.12568266077636,0.0,0.0,0.0,-50.0,-107.0,-20.335015160556402,0.0,0.0,0.0,0.0
60,-208.24910224796722,0.0,0.0,0.0,-50.0,-139.0,-20.89203691829926,2.849294495582581,0.0,0.0,0.0
62,-201.71874197037604,0.0,0.0,0.0,-50.0,-128.5,-22.073943415169357,0.0,0.0,0.0,0.0
64,-199.27031973036563,0.0,0.0,0.0,-50.0,-126.5,-21.677583687777844,0.0,0.0,0.0,0.0
66,-202.8742869383384,0.0,0.0,0.0,-50.0,-130.5,-21.5621619409671,0.3250142226307856,0.0,0.0,0.0
